Gene Name,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10
G67,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G68,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G69,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G70,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G71,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G72,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G73,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G74,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G75,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G76,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G77,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G78,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G79,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G80,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G81,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G82,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G83,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G84,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G86,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G87,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G88,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G89,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G90,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G91,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G92,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G93,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G94,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G95,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G96,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G97,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G98,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G99,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G100,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G101,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G102,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G103,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G104,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G105,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G106,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G107,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G108,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G109,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G110,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G111,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G112,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G113,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G114,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G115,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G116,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G117,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G118,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G119,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G120,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G121,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G122,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G123,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G124,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G125,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G126,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G127,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G128,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G129,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G130,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G131,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G132,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G133,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G134,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G135,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G136,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G137,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G138,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G139,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G140,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G141,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G142,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G143,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G144,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G145,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G146,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G147,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G148,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G149,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G150,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G151,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G152,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G153,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G154,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G155,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G156,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G157,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G158,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G159,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G160,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G161,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G162,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G163,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G164,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G165,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G166,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G167,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G168,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G169,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G170,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G171,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G172,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G173,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G174,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G175,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G176,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G177,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G178,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G179,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G180,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G181,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G182,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G183,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G184,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G185,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G186,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G187,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G188,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G189,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G190,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G191,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G192,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G193,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G194,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G195,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G196,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G197,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G198,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G199,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G200,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G201,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G202,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G203,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G204,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G205,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G206,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G207,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G208,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G209,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G210,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G211,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G212,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G213,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G214,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G215,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G216,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G217,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G218,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G219,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G220,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G221,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G222,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G223,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G224,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G225,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G226,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G227,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G228,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G229,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G230,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G231,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G232,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G233,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G234,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G235,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G236,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G237,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G238,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G239,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G240,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G241,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G242,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G243,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G244,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G245,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G246,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G247,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G248,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G249,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G250,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G251,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G252,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G253,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G254,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G255,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G256,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G257,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G258,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G259,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G260,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G261,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G262,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G263,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G264,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G265,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G266,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G267,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G268,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G269,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G270,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G271,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G272,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G273,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G274,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G275,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G276,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G277,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G278,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G279,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G280,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G281,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G282,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G283,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G284,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G285,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G286,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G287,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G288,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G289,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G290,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G291,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G292,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G293,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G294,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G295,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G296,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G297,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G298,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G299,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G300,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G301,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G302,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G303,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G304,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G305,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G306,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G307,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G308,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G309,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G310,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G311,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G312,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G313,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G314,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G315,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G316,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G317,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G318,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G319,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G320,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G321,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G322,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G323,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
